class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255 
nca,8,4,2,1,6,9,3,4,0,0,6,3,1,2,6,9,10,0,7,0,2,11,2,3,3,0,12,0,1,1,3,9,10,2,5,3,0,11,3,1,3,1,12,3,0,1,0,9,8,6,2,3,4,9,1,4,0,1,6,6,0,2,3,9,8,4,2,1,8,12,2,3,0,0,6,3,0,0,6,9,16,0,2,2,4,12,3,1,0,0,12,0,0,0,3,9,9,5,7,1,2,0,13,2,1,10,1,2,1,1,1,8,9,5,3,6,3,8,4,5,0,4,5,3,0,0,3,6,5,4,5,0,7,4,9,0,4,10,1,0,0,2,5,8,13,1,0,0,3,8,6,0,3,6,8,1,5,0,1,9,9,7,5,0,2,4,2,0,6,8,3,1,1,1,0,15,5,7,0,0,8,9,0,0,1,5,3,5,8,0,6,7,4,2,4,2,6,8,2,4,2,6,4,2,3,3,5,7,8,0,5,0,2,7,1,5,8,0,11,0,2,5,3,7,8,2,5,1,0,7,0,5,8,2,11,3,0,5,0,7,4,6,4,2,2,8,2,4,4,3,4,5,2,5,2,7
nca,5,2,4,2,2,8,2,8,3,2,4,2,2,8,2,8,6,0,6,0,0,10,0,10,6,0,6,0,0,10,0,10,6,0,6,0,0,10,0,10,6,0,6,0,0,10,0,10,5,2,4,2,2,8,2,8,3,2,4,2,2,8,2,8,5,2,3,2,2,8,4,7,3,2,4,2,2,8,2,8,3,1,7,3,2,4,15,5,6,1,2,0,3,6,1,5,6,6,4,0,4,3,14,1,2,9,2,2,0,3,1,7,6,3,5,4,4,9,1,2,3,3,2,3,5,4,3,7,5,5,5,0,4,3,8,4,4,8,1,3,2,4,1,7,5,1,5,0,5,5,5,5,6,3,4,0,3,8,3,6,6,2,5,0,0,6,0,9,5,12,4,0,0,4,0,11,5,2,4,2,5,5,5,5,5,2,4,2,4,5,3,6,5,2,4,2,2,8,2,8,3,2,4,2,2,8,2,8,6,0,6,0,0,10,0,10,6,0,6,0,0,10,0,10,6,0,6,0,0,10,0,10,6,0,6,0,0,10,0,10,5,2,4,2,2,8,2,8,3,2,4,2,2,8,2,8
nca,0,3,4,2,3,9,0,0,4,4,8,7,1,3,4,12,0,0,7,0,3,6,0,1,7,0,18,0,1,3,4,14,0,4,6,1,0,4,4,3,7,1,16,4,0,3,0,11,0,3,5,2,4,8,1,1,4,1,7,3,3,3,7,12,2,1,4,5,1,3,6,8,4,4,5,5,2,6,2,6,4,2,7,1,1,2,5,5,5,2,10,1,4,5,3,7,7,2,7,4,5,0,9,1,4,8,1,0,0,2,4,10,4,2,6,2,5,3,4,2,4,11,1,3,5,2,3,7,4,4,5,1,5,3,4,2,3,10,4,6,0,3,4,6,0,0,7,0,2,6,2,1,7,0,18,0,2,3,2,14,2,2,9,0,1,3,2,1,7,13,8,1,0,1,0,14,2,4,3,0,4,3,9,2,5,3,8,4,6,2,5,4,2,1,4,5,1,3,3,9,4,4,6,6,2,6,2,6,1,0,5,0,1,2,3,7,5,0,21,0,2,5,2,10,1,1,5,3,0,2,0,7,5,2,21,2,0,5,0,10,2,1,3,3,1,3,5,9,4,4,5,3,6,5,7,3
nca,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,5,6,4,4,5,5,7,1,4,4,3,3,3,2,3,5,9,5,8,0,2,2,12,3,3,8,0,0,0,1,1,10,4,6,3,2,7,2,9,1,4,9,0,4,3,1,2,7,4,6,5,1,6,2,9,3,5,9,2,2,1,1,2,6,5,5,3,4,5,6,7,3,2,6,3,3,3,1,5,3,6,4,5,2,4,3,4,3,2,12,2,3,0,1,3,10,5,5,6,2,4,4,9,2,6,6,2,3,1,3,1,5,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4,4,6,4,4,6,6,4,4,4,2,4,4,2,2,4,4
nca,5,4,2,2,2,6,1,3,4,6,5,4,3,8,2,7,9,5,3,2,2,4,1,2,6,5,6,4,2,4,3,6,9,2,3,1,5,4,4,4,6,2,6,1,5,4,4,4,5,2,1,3,5,7,3,1,4,3,5,2,5,7,4,7,6,6,2,2,4,8,3,3,4,4,4,4,1,5,2,6,7,6,7,4,3,3,6,3,5,6,1,2,1,2,4,4,7,1,5,1,6,2,13,1,5,8,1,3,3,1,0,7,8,3,6,1,7,1,6,2,3,10,1,2,1,1,2,10,4,9,5,4,4,4,7,1,3,5,0,6,2,2,1,7,9,5,6,4,3,5,6,4,2,2,5,3,2,1,2,5,6,5,7,0,3,2,3,1,3,12,2,2,1,1,0,16,4,6,3,1,7,2,9,5,3,8,2,1,2,2,1,8,4,4,4,6,2,7,3,8,2,2,6,4,1,2,2,7,6,5,6,4,4,4,2,4,4,2,7,3,1,2,4,6,7,4,6,2,5,4,4,4,3,3,7,3,1,1,4,6,5,3,4,3,4,6,6,6,2,3,4,2,3,3,4,6
nca,0,1,0,8,1,0,8,6,0,10,0,5,10,6,5,4,0,1,2,6,2,0,8,6,0,10,0,5,8,6,5,5,0,3,2,6,1,1,9,4,0,8,0,6,10,5,5,4,0,1,0,8,1,0,8,6,0,10,0,5,10,6,5,4,0,1,0,8,1,0,8,6,0,10,0,5,10,6,5,4,4,1,4,2,4,1,14,3,3,7,0,3,4,3,4,7,3,4,5,1,4,0,15,1,5,15,1,1,1,0,0,8,1,3,4,5,3,2,9,5,3,9,0,2,7,4,2,5,2,3,3,4,4,0,12,1,3,14,1,2,5,4,0,6,3,5,3,2,5,1,11,1,5,12,1,3,2,0,2,8,2,1,1,6,2,1,7,5,0,14,0,4,8,3,5,5,1,2,1,5,3,1,11,2,4,11,1,3,6,6,5,2,0,3,0,6,1,0,8,6,1,11,0,5,8,5,5,5,0,1,0,8,1,0,8,6,0,10,0,5,10,6,5,4,0,1,0,8,1,0,8,6,0,10,0,5,10,6,5,4,0,1,0,8,1,0,8,6,0,10,0,5,10,6,5,4
nca,4,4,6,6,6,2,9,3,4,4,2,2,6,2,3,1,6,6,9,9,0,4,0,6,6,6,3,3,0,4,0,2,6,0,9,0,6,4,9,6,6,0,3,0,6,4,3,2,4,6,6,9,4,2,6,3,4,6,2,3,4,2,2,1,6,6,0,0,8,3,2,0,6,6,4,4,9,3,5,2,5,6,3,1,2,1,12,2,7,10,1,3,2,2,0,7,4,6,5,0,6,1,10,1,5,7,1,2,6,0,1,9,6,6,2,0,4,2,4,2,9,12,1,2,4,3,4,3,8,7,5,0,5,0,14,4,2,5,2,5,1,1,1,4,7,3,8,1,3,2,5,2,3,12,1,1,2,1,1,12,7,0,9,0,9,3,9,6,2,6,2,2,0,2,6,1,7,5,6,5,7,2,10,3,0,4,4,2,0,2,5,2,4,4,4,4,6,2,6,2,6,6,2,2,9,3,3,1,6,6,6,6,0,4,0,4,9,9,3,3,0,6,0,2,6,0,6,0,6,4,6,4,9,0,3,0,9,6,3,2,4,6,4,6,4,2,4,2,6,9,2,3,6,3,2,1
nca,0,0,2,1,0,3,2,3,9,5,5,2,10,12,4,6,0,1,2,2,1,2,2,2,8,8,6,5,9,8,4,4,0,1,3,2,1,2,2,2,8,9,6,3,8,8,5,4,0,0,2,2,0,3,1,3,9,10,5,4,5,12,2,6,1,0,9,0,2,5,13,8,6,0,5,0,3,3,3,6,1,2,8,6,1,3,12,3,3,6,6,2,3,2,3,3,2,3,7,5,2,2,7,5,2,8,6,3,2,3,5,2,0,0,8,8,0,6,4,9,3,4,5,4,2,3,2,6,1,4,4,3,3,3,7,2,5,10,3,2,5,3,4,5,5,3,4,4,3,5,2,1,7,9,2,4,3,2,3,7,2,2,3,2,5,3,4,2,5,11,5,5,4,2,5,4,2,4,3,7,0,5,1,3,6,4,3,3,11,2,5,5,0,0,8,4,0,6,8,9,4,3,4,2,4,3,3,6,0,2,8,7,2,4,7,6,2,2,6,5,3,2,4,4,0,2,8,7,2,4,7,6,2,3,6,4,2,2,5,4,0,0,8,8,0,6,4,9,3,4,5,4,2,3,2,6
nca,0,0,0,1,0,0,1,6,0,2,0,5,2,12,5,30,0,0,0,1,0,0,1,6,0,2,0,5,2,12,5,30,1,1,1,1,0,2,8,2,0,2,1,5,2,10,3,25,0,0,0,1,0,0,1,6,0,2,0,5,2,12,5,30,0,0,0,1,0,0,1,6,0,2,0,5,2,12,5,30,1,2,2,1,3,1,16,0,2,5,1,6,2,7,4,11,1,3,4,0,3,1,12,2,2,17,1,2,0,4,3,9,0,1,2,2,1,1,10,9,1,7,1,5,2,8,4,10,0,3,3,2,2,2,12,1,2,8,0,3,0,6,4,16,4,5,3,0,6,0,9,2,6,7,1,5,2,3,2,9,2,0,1,1,1,0,2,6,0,14,0,2,2,7,5,21,0,1,0,1,2,1,8,5,4,5,2,5,2,8,4,16,0,0,0,1,0,0,1,6,1,10,0,3,2,11,5,24,0,0,0,1,0,0,1,6,1,6,1,4,4,11,5,24,0,0,0,1,0,0,1,6,0,2,0,5,2,12,5,30,0,0,0,1,0,0,1,6,0,3,0,5,4,11,5,28
nca,6,4,9,6,2,4,3,6,6,4,3,2,2,4,1,2,4,4,6,6,4,4,6,6,4,4,2,2,4,4,2,2,4,4,7,4,4,4,8,6,4,4,2,2,3,4,2,2,5,3,10,3,4,3,6,6,5,3,2,1,4,3,2,4,6,4,6,4,2,4,2,4,9,6,3,2,3,6,1,2,4,4,4,2,4,3,11,2,5,6,1,2,6,5,2,3,5,4,4,1,5,0,11,3,8,12,0,1,1,3,0,6,5,5,8,1,3,2,8,5,6,4,1,2,5,3,2,4,6,6,6,3,3,1,11,2,5,10,1,2,0,2,1,5,5,5,3,4,5,0,10,1,1,8,1,2,4,2,1,12,8,4,5,2,5,1,8,3,2,12,0,2,3,1,1,7,6,3,8,2,3,2,7,6,7,8,2,1,1,3,1,4,7,3,5,2,2,4,2,3,7,9,3,1,3,4,1,8,4,4,4,4,4,4,4,4,4,8,2,2,8,3,2,3,4,4,4,4,4,4,4,4,6,6,2,2,6,6,2,2,7,2,5,2,3,4,4,3,9,4,3,1,6,7,2,2
nca,2,2,7,4,0,0,0,9,9,7,6,3,0,11,0,4,4,0,5,3,0,0,3,9,9,3,6,2,4,10,1,5,4,2,4,4,0,0,7,6,9,3,6,2,2,8,1,6,3,2,6,1,1,0,9,6,7,3,3,1,6,8,1,7,2,2,7,4,0,0,0,9,9,7,6,3,0,11,0,4,4,0,4,0,0,1,14,5,8,1,4,0,6,9,3,5,7,0,2,1,3,0,19,0,5,14,0,1,0,1,0,11,5,2,5,0,3,1,8,3,3,13,1,0,6,2,2,10,3,4,7,1,2,0,11,3,7,11,0,2,0,6,1,6,3,1,4,0,3,1,11,3,5,7,1,1,5,3,2,14,6,5,4,1,1,0,0,4,5,15,2,0,0,1,0,20,3,1,7,0,2,0,6,8,12,2,6,0,3,7,0,7,3,2,7,3,0,0,0,8,8,12,6,2,0,8,0,5,4,0,5,2,1,0,3,7,9,3,6,1,7,8,1,7,4,0,5,3,0,0,3,9,9,5,6,1,2,10,2,5,2,0,7,0,2,1,6,7,9,5,5,0,6,8,3,3
nca,2,2,4,3,4,4,9,6,6,1,4,2,5,3,6,3,2,2,6,3,4,6,6,9,4,1,4,2,2,3,4,6,2,4,6,6,2,6,4,8,4,2,4,4,1,3,2,6,2,4,4,9,2,4,3,6,6,5,4,6,1,3,2,3,2,2,4,3,4,4,9,6,6,1,4,2,5,3,6,3,3,3,4,3,5,4,12,5,3,1,4,3,2,3,3,6,6,6,7,2,3,0,14,2,3,9,0,1,1,2,1,7,5,5,6,2,2,2,9,6,5,9,2,2,2,1,2,4,3,5,4,2,5,1,13,2,6,8,1,1,2,2,3,6,4,2,3,2,6,2,13,4,2,6,3,2,2,1,3,9,8,7,3,3,2,1,6,3,3,15,0,3,0,1,2,7,3,4,5,7,4,2,4,6,5,9,1,4,1,2,4,3,2,2,4,3,4,4,9,6,6,2,4,2,4,3,6,3,2,2,6,3,4,6,6,9,4,1,4,2,3,2,4,6,2,4,6,6,2,6,3,9,4,2,4,4,1,3,2,6,2,4,4,9,2,4,3,6,6,5,4,6,1,3,2,3
nca,8,0,8,0,0,8,0,8,8,0,8,0,0,8,0,8,6,5,7,5,0,4,2,4,6,6,5,6,0,4,0,4,6,0,6,0,6,5,6,3,6,0,6,0,6,4,6,4,6,2,7,1,1,5,4,7,8,0,6,2,0,8,0,7,8,0,8,0,0,8,0,8,8,0,8,0,0,8,0,8,6,5,6,3,2,1,8,4,4,11,3,5,0,3,0,3,6,0,6,0,6,5,6,3,6,0,6,0,6,4,6,4,7,2,8,2,2,4,4,4,5,11,5,0,1,2,0,7,7,3,6,0,1,5,11,2,7,6,2,0,0,5,2,7,7,5,7,9,1,3,0,3,5,6,0,0,6,3,2,7,6,2,7,4,5,2,7,4,6,2,2,2,5,3,3,4,11,3,5,2,0,6,3,5,3,7,2,2,4,2,3,6,7,1,8,0,0,7,0,8,6,6,7,0,0,6,0,8,6,6,6,6,0,5,0,3,6,6,6,6,0,4,0,4,6,0,6,0,4,4,6,3,6,3,6,0,7,5,4,4,8,0,8,0,0,8,0,8,8,0,8,0,0,8,0,8
nca,0,2,2,5,2,1,4,3,3,5,3,12,4,3,6,9,3,0,7,4,0,0,2,5,9,3,11,3,0,4,0,13,2,0,8,0,0,1,2,4,10,0,12,0,3,4,3,15,0,2,2,5,2,0,6,4,3,4,2,6,5,3,12,8,0,2,2,5,2,1,4,3,3,5,3,12,4,3,6,9,4,2,7,1,1,1,7,5,6,10,6,4,0,4,1,5,3,0,7,0,0,1,8,3,9,0,11,0,2,4,2,14,1,3,5,4,2,2,4,2,2,12,2,6,3,0,9,7,3,3,6,2,3,2,10,2,3,8,1,6,4,2,3,6,7,2,5,7,0,1,0,4,5,6,4,3,7,4,4,5,6,4,5,3,2,1,6,2,8,5,5,1,1,3,2,10,2,3,3,6,5,2,3,4,4,4,2,4,10,2,5,5,1,1,2,5,1,1,4,3,3,8,3,10,4,3,6,9,2,0,8,2,0,1,0,4,10,3,12,3,0,4,0,15,2,0,8,0,1,1,2,3,9,2,11,0,4,5,3,13,0,2,2,4,2,1,5,3,3,4,3,6,5,3,12,9
nca,4,10,0,0,0,2,0,0,10,25,2,5,0,5,0,1,3,6,0,1,4,3,1,1,4,14,1,3,10,9,2,2,2,4,0,0,6,4,0,0,5,10,1,2,15,10,3,2,4,2,1,1,8,1,5,2,10,0,1,1,20,3,3,2,3,8,3,8,0,1,0,2,6,14,4,10,0,3,0,2,4,3,3,3,4,2,11,2,3,12,3,3,3,3,2,3,2,4,1,4,5,3,6,4,3,4,2,4,7,5,6,4,3,2,4,1,7,0,11,2,6,7,3,0,7,3,5,3,6,8,7,5,0,1,11,1,3,10,0,4,0,1,2,5,4,6,4,11,4,3,3,4,1,6,2,1,7,1,2,5,4,5,2,5,5,3,13,3,4,6,1,4,3,2,1,3,4,2,7,5,7,1,6,2,4,2,0,2,12,3,0,7,4,8,10,20,0,2,0,5,0,8,2,3,0,0,0,2,2,6,5,15,4,4,10,10,0,0,1,3,0,0,2,2,4,3,4,10,5,4,15,9,0,0,1,2,1,1,3,2,4,0,10,0,10,2,25,5,0,0,2,0,0,0,5,1
nca,0,6,0,3,6,4,3,2,0,10,0,5,10,8,5,2,1,6,1,2,5,3,9,2,1,9,1,4,8,7,2,3,0,6,0,3,6,4,3,2,0,10,0,5,10,8,5,2,1,5,1,2,6,4,6,2,1,9,0,5,7,8,4,3,0,6,0,3,6,4,3,2,0,10,0,5,10,8,5,2,2,6,1,1,6,0,10,3,3,15,2,2,6,2,2,3,0,6,0,3,6,4,3,2,0,10,0,5,10,8,5,2,1,5,1,2,6,3,9,2,6,11,0,3,6,3,3,3,2,7,1,0,6,2,11,1,2,12,0,3,5,4,4,4,2,7,4,5,5,2,3,4,1,9,1,2,9,5,1,4,2,5,3,6,5,2,8,1,3,10,1,0,5,5,2,6,3,6,4,6,4,3,4,3,4,5,1,1,10,2,1,7,2,4,1,3,5,5,3,2,0,15,1,2,8,5,4,4,0,6,0,3,6,4,3,2,0,10,0,5,10,8,5,2,1,5,0,3,5,3,3,2,2,13,0,4,9,7,4,3,1,5,0,3,5,4,3,2,2,8,0,5,11,8,4,3
nca,0,0,0,1,0,0,1,6,0,1,0,6,1,6,6,36,0,1,0,3,0,0,7,6,0,3,1,7,1,6,7,22,0,0,0,1,0,0,1,6,0,1,0,6,1,6,6,36,0,1,0,3,0,0,4,6,0,1,0,9,1,6,7,26,0,0,0,1,0,0,1,6,0,1,0,6,1,6,6,36,0,1,3,1,1,1,7,6,0,11,2,6,1,4,7,13,0,0,0,1,0,0,1,6,0,1,0,6,1,6,6,36,0,1,4,1,2,1,6,6,0,13,1,5,1,2,7,14,0,2,2,0,2,0,16,5,1,8,1,4,1,5,3,14,0,3,3,5,0,4,1,6,1,5,0,5,10,2,2,17,1,1,2,5,1,3,10,4,2,10,1,3,0,5,4,12,0,3,2,6,2,3,5,4,1,2,1,5,9,3,4,14,1,0,0,1,0,0,1,6,0,9,0,4,1,5,6,30,0,0,0,1,0,0,1,6,0,1,0,6,1,6,6,36,0,0,0,1,0,0,1,6,1,2,0,5,1,6,6,35,0,0,0,1,0,0,1,6,1,1,0,6,2,6,5,35
nca,0,4,0,1,4,24,1,6,0,0,0,3,0,0,3,18,0,6,0,2,5,20,5,3,0,0,0,4,0,0,4,15,0,4,0,1,4,24,1,6,0,0,0,3,0,0,3,18,0,6,0,2,5,20,3,5,0,0,0,5,0,0,4,14,0,4,0,1,4,24,2,5,0,0,0,3,0,0,3,18,1,8,2,1,7,7,5,7,0,10,1,4,0,0,4,7,0,4,0,1,4,23,4,5,0,0,0,3,0,0,2,18,0,8,3,1,7,7,5,5,0,11,0,1,0,2,4,10,1,6,2,0,5,10,12,5,1,6,0,3,0,1,2,10,1,5,2,9,6,9,1,4,0,5,2,2,7,1,2,8,0,6,3,1,6,10,8,4,1,9,0,1,1,1,3,10,1,6,2,9,6,8,1,6,1,1,1,2,10,0,2,8,0,5,0,1,4,21,1,6,1,2,0,4,0,1,3,15,0,4,0,1,4,20,1,6,0,0,0,3,7,1,2,15,0,4,0,1,4,23,1,6,0,2,0,2,0,0,3,18,0,4,0,1,4,20,1,6,0,0,0,3,5,1,2,17
nca,4,9,0,0,0,4,0,0,10,16,2,7,0,8,0,4,2,6,0,1,3,3,6,1,5,10,1,4,8,9,1,4,3,4,1,0,4,3,7,1,5,9,1,2,8,10,1,5,4,0,0,0,9,4,0,0,10,0,2,0,16,8,7,4,5,6,1,6,1,3,6,3,3,8,4,11,0,2,1,4,2,4,4,3,4,2,2,4,0,15,1,4,4,1,5,9,5,4,2,1,4,1,9,4,4,11,3,4,0,2,2,8,5,0,1,0,6,3,7,5,5,0,5,0,8,3,11,5,3,7,6,2,2,0,12,1,4,8,1,4,0,1,0,13,2,2,7,6,2,2,7,4,4,9,0,1,4,3,1,10,5,4,2,1,1,2,9,2,6,13,0,0,0,4,0,15,4,0,5,11,6,1,3,2,4,1,1,0,12,3,2,9,5,6,8,13,0,3,0,9,3,5,2,2,0,2,0,6,3,3,3,8,3,5,8,13,2,0,2,1,4,1,1,7,4,4,4,8,3,5,8,15,0,5,2,1,0,0,2,3,5,0,8,0,6,4,13,9,1,0,3,0,5,1,3,6
nca,9,6,3,2,3,6,1,2,6,4,6,4,2,4,2,4,9,3,2,1,4,7,5,2,6,2,5,2,2,6,4,4,9,4,2,1,3,8,1,3,6,3,5,4,2,6,2,5,8,4,3,2,6,4,5,2,6,2,5,2,4,4,3,4,9,6,3,2,3,6,1,2,3,2,9,6,1,2,3,6,8,2,3,0,5,4,8,4,3,8,6,1,2,1,3,6,9,3,3,1,3,9,1,3,3,1,9,3,1,4,3,8,7,4,5,3,5,3,5,2,4,7,4,2,1,2,5,5,7,5,6,1,4,3,9,0,3,7,3,4,1,3,2,6,8,2,4,4,5,6,1,1,4,2,4,3,9,3,3,5,7,3,5,0,4,5,12,2,3,7,4,1,0,1,2,8,6,5,5,3,9,3,4,1,3,4,2,2,5,1,6,5,8,7,6,4,3,5,2,4,2,6,5,4,1,1,2,4,9,3,6,2,3,9,2,6,2,1,6,2,3,2,2,6,8,4,6,2,3,7,2,6,2,8,5,3,1,1,2,4,8,3,6,2,6,5,4,4,3,1,5,2,7,1,3,4
nca,16,0,0,0,0,16,0,0,4,0,12,0,0,4,0,12,15,1,1,1,1,13,1,3,4,0,11,1,0,2,0,10,16,0,0,0,0,16,0,0,4,0,12,0,0,4,0,12,15,1,0,2,0,13,2,2,4,0,11,1,0,4,0,9,16,0,0,0,0,16,0,0,4,0,12,0,0,4,0,12,12,2,3,0,2,8,5,2,2,7,8,2,0,5,0,6,16,0,0,0,0,16,0,0,4,0,12,0,0,4,0,12,11,4,3,0,3,5,4,3,4,8,7,1,0,4,1,6,10,3,2,0,2,8,12,1,3,5,5,0,2,0,1,10,10,2,3,7,2,8,0,2,3,4,4,2,7,0,2,8,11,2,4,0,1,10,6,1,2,8,4,2,3,0,1,9,12,3,2,9,2,7,1,1,2,3,5,2,5,1,0,9,14,1,0,0,0,14,0,0,5,4,10,1,0,5,0,10,14,0,0,0,1,14,0,0,5,0,10,0,4,5,1,10,16,0,0,0,0,16,0,0,4,0,12,0,0,4,0,12,14,0,0,0,1,14,0,0,5,0,10,0,2,5,1,12
nca,6,6,4,4,6,6,4,4,2,2,4,4,2,2,4,4,6,6,4,4,6,6,4,4,2,2,4,4,2,2,4,4,6,6,4,4,6,6,4,4,2,2,4,4,2,2,4,4,6,8,3,4,7,4,5,4,1,1,4,5,2,2,4,4,8,8,2,2,8,8,2,2,0,0,6,6,0,0,6,6,8,7,2,1,6,3,9,4,1,5,4,4,0,2,5,3,8,8,2,2,8,8,2,2,0,0,6,6,0,0,6,6,8,6,3,2,6,4,5,4,0,8,5,2,0,2,3,6,5,7,4,1,6,3,4,1,5,10,1,2,3,2,5,5,7,6,2,3,5,5,1,2,6,3,3,3,7,2,4,5,7,6,2,0,9,3,6,0,3,8,2,3,1,2,5,7,7,8,3,4,6,4,2,0,3,1,3,6,6,3,4,4,6,7,2,1,6,5,2,2,4,6,4,4,4,3,4,4,6,6,2,2,6,6,2,2,4,4,4,4,5,3,4,4,6,6,2,1,6,6,2,1,4,6,4,4,4,3,4,5,6,6,2,2,6,6,2,2,4,4,4,4,5,3,4,4
nca,9,7,3,1,3,6,1,2,3,2,9,6,1,2,3,6,10,5,3,1,3,9,4,2,2,0,8,4,1,1,3,8,9,3,3,1,3,9,1,3,3,1,9,3,1,3,3,9,10,3,2,1,7,6,4,1,2,1,9,3,1,2,6,6,9,8,3,1,4,7,1,2,3,1,9,6,0,1,3,6,8,4,4,0,3,6,5,4,2,8,7,1,1,2,1,8,9,3,3,1,3,11,1,3,3,1,9,3,1,1,3,9,7,5,2,1,4,5,8,1,8,3,5,3,1,3,3,5,5,5,7,1,5,2,7,2,5,8,3,3,2,1,1,7,7,3,3,6,1,4,1,4,4,5,4,3,10,2,3,4,7,4,4,4,3,5,9,2,4,6,3,2,0,1,3,7,6,4,5,4,5,2,7,3,3,3,3,3,7,1,5,3,9,7,2,2,4,7,1,1,3,6,8,5,0,0,3,6,9,3,3,1,3,11,1,3,3,1,9,3,1,1,3,9,9,3,3,1,3,11,1,1,3,1,9,3,2,2,3,9,10,4,2,1,6,7,0,1,4,2,8,3,3,3,5,5
nca,3,6,1,2,3,12,1,4,1,2,3,6,1,4,3,12,3,4,1,2,6,8,5,6,1,1,3,4,2,4,6,8,3,6,1,2,3,12,1,4,1,2,3,6,1,4,3,12,2,3,3,1,7,9,4,6,1,1,2,3,2,4,7,9,3,1,2,5,1,0,3,12,2,5,2,4,2,12,2,8,4,2,4,4,3,1,5,10,2,12,3,1,0,6,1,6,3,1,1,6,1,0,3,12,2,5,2,4,2,12,2,8,2,3,2,3,4,0,11,7,4,11,1,2,3,3,5,3,1,4,4,3,6,1,9,2,2,11,1,4,3,4,2,7,1,5,3,6,3,1,2,3,2,4,0,4,16,5,3,6,2,4,4,3,2,1,12,3,2,12,0,3,2,6,2,6,2,3,2,5,6,3,5,2,3,2,1,2,9,5,6,8,3,7,1,2,3,11,1,4,1,3,2,6,1,4,3,12,3,3,1,1,7,11,2,4,0,1,2,3,4,4,7,11,3,7,1,2,3,10,1,4,0,6,2,6,1,4,3,11,3,3,1,1,7,10,2,4,1,1,2,3,4,5,6,11
nca,4,2,2,1,2,8,1,12,2,1,8,4,1,4,4,8,4,2,2,1,3,6,9,10,2,1,5,4,1,3,5,6,4,2,2,4,2,8,1,10,2,3,5,5,1,3,4,8,4,2,2,1,2,8,1,12,2,1,8,4,1,4,4,8,4,2,2,1,2,8,1,12,2,1,8,4,1,4,4,8,5,2,5,1,2,6,9,5,3,9,7,0,0,2,1,7,4,2,2,1,2,8,1,12,2,1,8,4,1,4,4,8,4,5,3,0,3,3,8,9,3,5,8,4,0,3,1,5,4,5,4,1,3,7,11,4,3,6,4,2,0,0,2,8,4,4,6,7,4,6,0,6,3,1,5,3,7,0,0,8,4,4,5,0,2,7,12,5,4,4,3,3,0,2,2,7,4,4,4,6,5,5,2,2,4,4,4,1,5,2,2,10,3,5,2,1,2,6,1,11,2,3,6,6,1,4,4,7,4,2,1,1,5,7,1,9,1,1,6,4,7,2,6,7,3,4,2,1,2,6,1,11,2,5,6,5,1,4,4,7,3,2,1,1,5,7,5,7,4,1,5,4,2,3,5,9
nca,3,2,4,2,4,4,4,6,6,2,3,2,4,8,4,6,4,3,3,2,2,3,12,3,9,2,1,2,3,4,1,10,4,4,4,7,2,3,2,4,6,8,2,5,2,5,2,4,2,5,3,5,1,3,11,2,6,7,2,3,2,2,1,9,4,2,5,2,4,4,4,8,3,2,4,2,4,6,4,6,3,1,8,0,4,0,14,1,6,9,2,0,2,1,3,10,5,4,4,8,2,3,6,3,2,6,3,6,2,4,2,4,1,4,10,4,4,1,4,3,4,10,3,1,1,2,1,11,4,4,2,1,3,3,15,2,8,2,2,2,2,6,1,7,4,1,7,6,5,0,3,2,3,8,0,0,10,2,0,13,5,2,5,1,4,0,11,2,4,14,1,2,1,4,0,8,4,5,5,6,2,1,3,3,4,3,1,1,10,2,0,14,6,1,4,1,5,4,4,4,2,15,2,0,2,2,3,9,5,2,5,2,4,3,7,5,2,2,4,2,8,4,5,4,5,4,5,6,2,3,2,5,2,8,4,4,2,4,2,6,4,4,5,3,4,4,3,7,3,4,4,3,1,5,2,8
